asm_area_code,customer_code,Year,Month,unique_retailers,invoice_count
PUNJ,236,2013,6,206,388
WESTM,2357,2013,5,125,271
HUBL,731,2013,3,807,1586
HUBL,555,2011,10,320,673
EASTU,2463,2013,3,1178,1537
RAJA,1938,2012,4,183,389
HYDE2,258,2012,4,120,341
HUBL,963,2012,2,257,1053
CHEN,2273,2013,5,741,1592
EASTU,276,2013,4,183,751
PUNEN,1200,2013,1,212,379
HUBL,731,2011,11,871,1428
ORIS,9,2013,10,228,567
BIHAE,539,2011,7,484,1201
VIJA,1893,2012,3,90,320
HARY&,62,2011,5,187,479
MUMB1,1392,2012,3,5228,13387
HARY&,61,2013,2,279,874
MUMB1,832,2012,4,5499,13783
HYDE2,1014,2013,8,151,539
HARY&,1738,2012,5,162,256
ORIS,748,2012,8,189,358
CHEN,1428,2012,2,721,1331
GUJAN,1321,2012,4,553,1159
HYDE1,1891,2011,5,1209,2925
CHEN,2069,2013,8,577,1557
VIJA,359,2011,10,99,228
WESTU,306,2012,7,160,233
PUNJ,1823,2012,5,696,1318
NAGP,93,2012,10,353,798
HYDE1,876,2011,4,2109,5647
HYDE2,473,2012,11,76,279
BENGS,2112,2013,12,427,1448
BANG,1146,2012,1,702,1652
HYDE2,843,2011,4,184,483
RAJA,119,2011,6,183,505
PUNES,1666,2013,12,704,2275
MUMB2,482,2011,4,571,1127
HARY&,424,2011,9,390,1116
GUJAS,607,2012,8,173,436
KOLK,1439,2012,9,1121,1876
PUNJ,419,2013,9,184,598
PUNJ,1190,2012,1,1035,1410
NER,1897,2012,12,164,473
PUNJ,1524,2011,4,784,1791
VIJA,1000,2011,11,347,786
HYDE1,1282,2012,12,1282,2223
HYDE2,473,2011,8,70,115
BENGN,2373,2013,3,131,180
BENGN,1008,2011,4,132,269
EASTM,261,2011,5,83,164
PUNES,328,2013,10,128,380
RAJA,1455,2012,1,671,1570
CHEN,1882,2013,2,263,538
EASTU,276,2012,9,219,428
JHAR,540,2013,10,127,638
PUNJ,1989,2012,12,429,866
HUBL,1022,2012,12,206,672
BANG,1146,2012,9,840,1688
VIJA,1987,2012,2,800,2416
HARY&,1567,2013,10,1039,2370
BENGS,2112,2013,7,304,507
WESTM,523,2012,5,1403,3244
EASTM,554,2013,8,282,915
CENTU,2048,2013,2,113,140
WESTU,2016,2013,4,160,526
BIHAE,1274,2012,3,69,121
PUNEN,330,2012,3,89,216
HYDE1,188,2013,1,63,215
PUNEN,1199,2011,7,136,259
VIJA,1426,2012,3,946,1533
PUNES,1244,2011,11,110,201
HUBL,41,2012,1,19,25
PUNES,1238,2012,11,325,710
BENGS,1295,2012,11,640,1238
BANG,2440,2013,1,175,320
HYDE2,2340,2013,5,166,697
NER,1033,2012,7,453,1140
PUNES,1072,2011,5,287,575
EASTM,1822,2012,6,578,1640
NER,390,2012,7,146,253
PUNEN,1665,2013,12,1863,6617
RAJA,1905,2013,5,234,536
BIHAW,34,2012,3,270,307
EASTU,281,2013,10,261,630
ORIS,9,2013,6,229,553
GUJAN,1985,2013,1,987,3016
EASTM,71,2012,1,378,988
PUNJ,1823,2013,4,1078,2020
HYDE2,1933,2012,7,811,1861
PUNJ,1190,2012,10,1512,2134
MUMB1,1536,2012,12,1751,7224
EASTM,73,2012,4,405,1041
PUNEN,330,2013,7,90,219
HYDE1,1021,2013,1,4636,9267
WESTU,168,2012,5,148,421
WESTM,2461,2013,2,575,1210
BENGN,620,2013,1,203,481
GUJAS,399,2013,1,160,475
GUJAS,1006,2013,9,363,1144
RAJA,126,2012,6,592,1382
WESTU,165,2011,10,469,1003
JHAR,1766,2012,2,86,271
VIJA,2272,2013,11,1521,3794
BIHAW,32,2012,8,180,237
GUJAS,1779,2012,11,1519,2645
MUMB2,294,2013,6,576,1862
PUNEN,1198,2011,11,69,118
PUNJ,1823,2012,10,650,1155
CENTU,2048,2012,6,83,128
GUJAS,1811,2011,12,850,2146
PUNJ,1147,2012,2,106,141
BENGS,768,2012,5,623,1165
VIJA,228,2012,4,72,110
CENTU,2002,2013,2,179,246
WESTU,167,2013,11,648,1677
PUNES,2321,2012,9,43,53
EASTU,2068,2013,2,137,556
RAJA,114,2011,7,929,2054
DELHM,2253,2013,7,1979,4156
PUNEN,628,2012,8,924,2359
EASTM,74,2013,5,187,542
WESTM,2134,2013,6,1,1
JHAR,1051,2013,11,347,1281
NAGP,2323,2013,12,231,576
BENGS,481,2011,5,206,540
BIHAW,34,2012,5,389,642
KOLK,2075,2013,9,1812,3802
BIHAE,2398,2012,12,119,239
WESTU,1936,2012,1,153,299
JHAR,540,2013,6,124,694
NAGP,91,2011,10,155,350
VIJA,44,2013,11,387,686
JHAR,31,2011,8,299,499
EASTM,267,2012,9,248,391
PUNEN,1171,2011,9,140,383
HARY&,2336,2013,10,171,444
COIM,1578,2011,9,232,408
HUBL,2012,2013,6,656,1780
PUNEN,80,2013,2,86,156
COIM,2293,2013,11,376,908
BENGS,18,2011,5,346,866
GUJAN,2350,2013,6,128,305
NAGP,1090,2012,5,1293,2594
ORIS,11,2012,10,243,727
BIHAE,1413,2013,11,116,389
CHEN,975,2011,10,1144,2871
BENGS,768,2013,12,583,1638
COIM,2375,2013,2,1669,2558
GUJAN,636,2012,12,1211,2937
PUNEN,1575,2013,8,142,277
RAJA,115,2013,8,228,470
BANG,2440,2013,10,244,444
VIJA,2313,2012,9,49,74
PUNES,327,2011,10,110,177
NAGP,99,2012,3,2104,7008
HYDE2,187,2013,8,205,783
RAJA,1938,2012,3,178,251
KOLK,1849,2011,5,1680,2569
PUNES,993,2012,6,128,296
GUJAN,137,2012,7,353,988
PUNEN,628,2012,7,1066,3011
BANG,1526,2012,3,1509,2374
DELHM,526,2012,9,2365,4303
RAJA,113,2013,9,381,826
HYDE2,1447,2013,6,503,1348
WESTU,165,2011,6,432,968
GUJAS,289,2013,8,235,640
COIM,556,2011,7,285,496
WESTU,174,2011,4,83,135
WESTU,775,2012,10,999,1425
WESTM,268,2012,3,314,635
MUMB2,300,2012,3,1350,3874
GUJAS,2721,2013,12,389,935
PUNES,2192,2013,8,147,424
BANG,1369,2012,7,204,612
ORIS,1730,2012,9,899,1389
WESTM,523,2013,12,1230,3606
HYDE1,1892,2012,8,330,345
HUBL,1430,2011,8,343,669
ORIS,11,2013,10,242,971
RAJA,2341,2013,8,156,358
CENTU,2036,2012,5,104,143
HARY&,1567,2013,6,1284,3865
KOLK,1824,2012,11,2707,5789
PUNEN,79,2012,4,455,676
BENGN,620,2013,10,187,511
CENTU,2035,2012,4,170,282
GUJAS,1164,2011,10,1460,3614
WESTU,2480,2013,2,829,1269
RAJA,121,2012,6,228,434
MUMB2,213,2012,11,604,1593
HYDE2,422,2012,11,318,568
RAJA,2143,2013,6,349,1272
BENGS,22,2012,5,577,1184
RAJA,1455,2013,3,946,1818
BANG,2495,2013,3,122,148
PUNJ,2106,2013,11,568,1279
BENGS,2433,2013,9,161,283
NER,1724,2011,4,221,453
NER,1956,2012,4,61,117
COIM,1193,2013,5,901,1740
BIHAW,1853,2012,12,183,283
BIHAW,547,2013,8,161,666
BANG,1526,2012,5,1855,3530
DELHM,1596,2011,4,1857,3106
VIJA,553,2013,5,117,212
DELHM,1105,2012,10,542,1374
GUJAS,1601,2013,7,154,307
VIJA,47,2013,5,466,1111
KERA,158,2013,12,524,1157
PUNJ,1683,2012,1,94,115
MUMB2,2479,2013,10,3850,9390
HARY&,1209,2011,12,427,684
BIHAE,35,2012,5,334,689
GUJAN,137,2013,11,344,1293
BIHAW,469,2013,10,227,830
EASTM,69,2011,5,177,239
CHEN,106,2012,9,225,544
BIHAW,1411,2011,4,151,272
RAJA,2176,2012,12,209,574
COIM,163,2012,10,480,1139
GUJAN,1268,2011,5,930,2125
WESTU,1936,2011,9,158,312
PUNJ,419,2013,1,245,543
EASTU,2413,2012,12,97,114
WESTU,2027,2013,1,159,375
WESTU,2074,2013,3,146,242
EASTU,275,2012,5,268,666
BENGN,638,2011,7,154,382
NER,2008,2013,5,281,984
PUNJ,419,2013,10,185,521
NER,2008,2012,1,151,362
CENTU,325,2011,8,193,300
GUJAS,747,2011,11,281,410
PUNES,1072,2012,4,329,927
HARY&,59,2012,7,180,294
HYDE2,245,2012,5,229,319
NAGP,764,2011,9,157,291
WESTM,1115,2012,3,23,120
PUNEN,1023,2013,7,471,1479
JHAR,2796,2013,12,302,662
WESTM,266,2012,8,240,611
CHEN,1664,2011,9,70,146
PUNEN,330,2012,5,98,265
PUNEN,1351,2012,12,87,221
CHEN,595,2012,8,428,986
WESTU,961,2011,8,542,1465
NAGP,1036,2012,8,934,2580
JHAR,459,2011,10,118,324
HYDE2,1130,2011,7,333,650
GUJAN,1101,2011,6,261,776
PUNEN,1419,2013,10,91,158
CHEN,1882,2012,4,247,664
CENTU,2004,2013,12,154,443
BENGN,638,2013,10,158,540
PUNES,1343,2013,3,254,458
COIM,1249,2012,4,1054,1601
NAGP,86,2012,12,165,355
JHAR,2342,2012,12,558,1344
NAGP,1062,2012,9,950,2444
PUNEN,628,2011,11,854,1782
NER,2182,2013,7,222,446
EASTM,1929,2012,1,195,525
MUMB2,299,2011,9,1194,3654
PUNEN,77,2011,9,1023,2594
PUNEN,1171,2012,11,153,235
RAJA,126,2011,4,558,1088
HARY&,65,2012,8,250,738
BENGS,451,2011,9,357,951
EASTU,284,2012,7,170,331
DELHM,1591,2012,12,3896,7571
RAJA,113,2012,8,388,556
PUNEN,1347,2012,5,107,152
RAJA,129,2013,4,298,716
PUNJ,958,2013,8,223,465
BIHAW,469,2012,1,174,296
BENGN,2354,2013,8,964,2000
GUJAS,1570,2012,12,1055,2573
WESTU,846,2011,7,105,176
BENGS,23,2011,10,492,767
NER,2182,2012,4,240,304
EASTU,283,2012,4,231,546
HUBL,2199,2013,8,482,1226
PUNEN,1690,2012,7,959,2829
WESTU,304,2013,1,101,401
VIJA,45,2011,9,394,871
BIHAE,1274,2013,12,103,356
HYDE1,1892,2011,12,2143,3935
VIJA,1893,2012,4,90,287
BENGN,656,2011,6,7,7
HYDE2,1653,2013,2,620,1100
CENTU,279,2011,7,217,331
ORIS,11,2013,6,243,848
BENGS,2,2011,8,1008,2315
RAJA,116,2011,4,520,1343
EASTU,282,2012,7,135,220
PUNEN,77,2011,10,1028,2811
KOLK,1817,2011,12,3098,5942
HYDE2,2314,2013,4,220,744
VIJA,50,2012,5,127,217
WESTU,2066,2013,3,266,327
DELHM,1596,2011,5,1808,3073
WESTU,303,2012,3,164,204
GUJAS,1449,2012,10,673,2182
HYDE2,2314,2012,9,62,89
VIJA,42,2011,5,201,451
VIJA,247,2011,10,106,181
CENTU,2036,2013,12,197,733
WESTM,521,2011,4,847,2198
HYDE2,1593,2012,1,96,236
BENGS,1401,2013,3,266,628
CENTU,369,2013,5,471,1209
WESTU,2671,2013,9,140,402
HYDE1,463,2013,12,92,332
KOLK,2105,2012,6,544,1230
CENTU,2062,2013,8,148,499
CHEN,315,2013,5,153,246
GUJAS,1811,2013,6,754,1741
BENGS,1950,2012,12,310,582
VIJA,51,2011,6,141,343
HYDE2,1381,2013,4,786,2551
VIJA,1426,2012,4,995,2027
PUNJ,2530,2013,8,168,364
PUNJ,230,2013,11,121,547
ORIS,475,2013,4,162,521
NAGP,86,2012,7,169,364
WESTM,264,2012,8,244,543
CHEN,104,2012,4,299,547
MUMB2,1298,2011,8,3026,6343
CENTU,2035,2012,3,148,152
JHAR,31,2012,11,302,415
GUJAS,289,2012,6,211,571
BANG,2442,2013,4,498,813
NER,1840,2012,6,212,328
GUJAN,1302,2013,3,962,2198
BIHAE,1024,2012,6,351,749
HUBL,353,2011,10,219,289
PUNEN,1131,2011,5,416,481
BENGS,19,2012,1,151,596
RAJA,1228,2013,1,245,431
MUMB2,1025,2012,6,151,175
BENGN,638,2011,12,159,491
BIHAW,32,2011,11,212,252
BANG,344,2012,3,1252,2507
HUBL,2318,2012,11,97,210
BANG,145,2012,4,1201,2477
PUNJ,608,2011,6,503,1009
NAGP,2024,2012,2,306,348
KERA,584,2013,12,338,569
ORIS,12,2013,3,135,363
JHAR,1852,2012,1,297,402
RAJA,1456,2012,8,157,389
HARY&,64,2013,6,326,760
VIJA,48,2012,6,130,329
WESTU,2103,2013,11,128,317
VIJA,372,2011,7,387,803
BENGS,5,2011,4,864,2378
PUNEN,1845,2012,12,898,1857
NAGP,97,2011,12,741,1337
WESTU,166,2011,10,190,539
GUJAN,131,2013,3,208,507
CENTU,1222,2011,12,831,1678
CENTU,2204,2013,3,113,195
COIM,2375,2013,11,1598,3269
BENGN,2373,2013,5,134,197
WESTU,2084,2013,9,159,297
VIJA,1000,2013,9,604,1101
PUNES,327,2012,5,146,171
BANG,2471,2013,9,473,1421
GUJAS,1811,2012,1,837,2067
HYDE2,473,2013,1,82,340
EASTU,2068,2012,6,135,243
PUNES,81,2013,3,438,799
PUNEN,331,2013,8,159,238
NER,243,2013,7,250,459
GUJAS,1449,2011,4,357,893
HARY&,60,2012,5,234,483
EASTU,1044,2012,7,186,303
GUJAN,133,2011,4,450,1221
BENGS,1284,2013,3,241,577
PUNEN,332,2011,12,59,82
WESTU,2190,2012,11,159,274
BIHAE,1024,2013,7,344,1001
EASTU,282,2012,12,135,204
DELHM,1174,2012,7,2540,4318
DELHM,1980,2012,7,1503,3221
CHEN,1664,2011,10,78,171
VIJA,44,2013,2,352,536
WESTM,1115,2013,7,213,510
EASTU,281,2013,9,261,827
PUNES,1067,2011,8,531,1205
BANG,2464,2013,2,329,445
EASTM,71,2013,6,376,1179
BIHAE,1676,2013,8,1076,2597
VIJA,455,2012,11,479,845
JHAR,550,2012,8,130,226
NER,2008,2013,3,259,639
VIJA,2343,2013,10,85,243
KOLK,1818,2011,8,1157,1925
PUNEN,1690,2012,12,897,3211
DELHM,1809,2012,8,590,1181
PUNES,2243,2013,6,2136,5482
PUNEN,525,2013,6,1836,5655
HARY&,393,2013,1,1374,2665
VIJA,47,2013,3,354,625
ORIS,11,2012,1,243,706
HARY&,2335,2013,8,101,260
HYDE2,869,2011,10,733,1544
ORIS,1590,2012,1,160,321
BIHAW,1986,2011,9,506,972
PUNES,83,2013,1,153,599
NAGP,98,2011,4,802,1749
PUNEN,743,2012,2,261,584
PUNES,993,2013,7,161,596
MUMB2,1317,2012,11,1215,2824
CENTU,170,2013,11,248,561
PUNEN,1347,2012,3,101,105
CENTU,2031,2012,5,64,101
HYDE2,422,2012,2,384,931
GUJAN,1804,2013,5,1711,4856
KOLK,1281,2012,6,1287,2442
PUNEN,1023,2013,12,476,1327
BANG,1756,2013,3,580,972
VIJA,553,2013,3,118,184
JHAR,1051,2013,2,359,2121
ORIS,2121,2013,2,201,603
BANG,2458,2013,3,545,1021
GUJAN,629,2012,12,844,2347
JHAR,957,2012,5,986,2276
BENGS,451,2012,1,358,950
BANG,344,2013,12,1407,3286
VIJA,1530,2012,10,941,1977
CENTU,2548,2013,7,308,521
VIJA,1530,2012,9,933,1999
ORIS,9,2012,9,228,413
BANG,1154,2012,2,366,891
WESTM,1115,2013,12,179,680
BANG,2284,2012,12,547,1274
NER,1883,2012,8,102,155
PUNES,1244,2012,7,148,356
PUNES,2243,2013,10,1694,4471
EASTU,281,2013,1,261,509
VIJA,1089,2012,10,137,325
HUBL,1430,2013,3,518,865
RAJA,1938,2013,7,184,488
GUJAS,997,2012,5,148,344
HYDE2,1653,2012,4,625,968
EASTU,1044,2012,12,186,291
ORIS,1359,2013,4,518,1422
PUNES,83,2011,4,149,552
PUNEN,1419,2012,8,90,136
EASTM,410,2013,12,417,1198
WESTM,268,2013,4,319,1072
GUJAS,1779,2011,8,1266,3857
BENGS,2112,2012,6,307,850
HYDE1,602,2012,9,896,1715
HYDE1,876,2012,10,2468,6598
DELHM,1316,2011,12,1175,2369
HUBL,2597,2013,7,124,418
PUNES,1245,2011,4,155,472
HYDE2,1721,2013,11,229,731
CHEN,595,2013,3,424,909
PUNEN,960,2013,9,199,431
KOLK,1281,2013,4,1306,2880
PUNEN,1200,2013,9,326,644
VIJA,1674,2011,4,567,1079
BANG,144,2011,9,1013,1542
KOLK,1818,2013,6,1486,3982
KOLK,1281,2012,10,1063,2049
RAJA,1455,2013,4,1086,2557
HARY&,1738,2011,12,281,580
BANG,145,2013,8,1168,2723
EASTU,522,2011,8,764,1496
HARY&,2334,2013,6,127,180
BIHAW,1360,2013,5,833,2240
PUNJ,1147,2012,11,143,194
HUBL,181,2011,6,281,606
COIM,285,2012,8,299,570
COIM,1303,2013,2,367,998
EASTM,613,2011,11,323,808
NER,1840,2011,4,199,244
WESTU,2074,2012,8,172,431
EASTU,281,2012,1,259,884
ORIS,883,2013,5,407,1127
RAJA,1455,2012,9,757,2111
DELHM,2152,2012,6,1440,3648
HARY&,64,2011,5,334,804
HYDE2,245,2013,3,233,917
PUNJ,1524,2012,1,675,1637
BENGS,307,2011,5,882,1682
WESTU,166,2011,6,140,296
CENTU,279,2011,12,263,369
VIJA,47,2012,10,442,971
HYDE2,1726,2011,8,479,1112
WESTM,266,2011,12,317,953
PUNES,291,2011,11,8,12
WESTU,2115,2012,9,1144,1763
HYDE1,1892,2011,4,995,2378
NER,2008,2012,10,185,345
KOLK,1817,2013,6,3089,7301
BANG,1369,2012,8,204,790
PUNJ,1947,2012,8,386,790
HYDE1,1282,2011,4,689,1574
GUJAS,1920,2011,9,127,320
HUBL,1430,2013,4,600,1566
GUJAN,629,2012,1,800,2259
CHEN,105,2013,12,176,367
HYDE1,463,2013,7,86,218
CENTU,433,2013,11,1927,3783
PUNEN,80,2012,12,94,215
HYDE2,245,2012,1,233,540
GUJAN,131,2012,10,207,318
GUJAN,1715,2011,9,304,829
WESTU,1437,2011,6,331,735
WESTU,729,2011,11,644,1078
CHEN,595,2013,4,435,1026
DELHM,526,2013,12,2020,5176
BANG,2440,2013,5,238,438
PUNES,1579,2011,4,540,1356
PUNEN,1189,2011,5,65,112
KOLK,1281,2011,6,1160,2419
ORIS,356,2013,6,192,390
VIJA,247,2011,12,111,300
HARY&,1738,2011,10,205,453
JHAR,1634,2011,9,460,1132
WESTU,1713,2012,11,162,420
KOLK,1817,2011,7,2454,4370
BANG,1154,2013,6,682,1740
NER,1840,2011,12,213,612
VIJA,860,2013,8,61,152
BIHAW,1960,2013,11,12,12
HYDE2,413,2012,11,236,815
HUBL,2279,2013,4,169,349
ORIS,1482,2013,5,504,1389
MUMB1,832,2013,7,4167,10788
MUMB2,2244,2012,10,2839,9934
ORIS,1927,2012,5,183,1545
VIJA,1530,2012,1,805,1817
ORIS,1566,2012,6,955,1295
HARY&,65,2012,7,251,613
HYDE1,463,2012,2,90,248
PUNEN,2520,2013,7,80,145
MUMB2,991,2012,1,948,3632
GUJAN,2368,2012,12,134,288
WESTU,1936,2012,3,123,214
HUBL,450,2013,10,406,1494
MUMB1,56,2011,9,1146,17643
VIJA,45,2012,9,394,873
BIHAE,534,2013,10,170,524
BENGN,24,2012,9,142,231
VIJA,1987,2011,8,235,288
GUJAN,2664,2013,8,414,740
CHEN,106,2013,3,199,415
KOLK,2105,2011,12,276,299
VIJA,2144,2013,7,546,1398
HYDE1,1021,2011,7,2213,5238
MUMB2,456,2012,2,66,125
CENTU,369,2013,4,512,1132
HYDE2,2316,2013,8,84,232
HYDE2,251,2012,4,173,362
MUMB2,2244,2013,2,2702,6065
RAJA,1905,2011,8,197,455
VIJA,1390,2011,9,118,212
GUJAN,470,2012,7,920,2253
EASTM,335,2012,10,165,264
PUNES,1608,2012,9,298,710
PUNES,83,2011,5,149,469
EASTU,275,2013,12,296,1054
BANG,1016,2013,10,906,2188
NER,221,2011,5,209,770
JHAR,1819,2012,2,111,434
NER,239,2012,8,135,161
BENGS,649,2013,2,450,1206
GUJAS,135,2012,8,325,805
BIHAE,1676,2011,6,866,2491
PUNES,329,2011,11,57,112
CENTU,2034,2011,12,100,155
NAGP,1090,2011,9,1248,2695
PUNEN,743,2013,1,250,922
HARY&,424,2012,6,446,812
HYDE2,254,2013,12,202,552
DELHM,591,2011,12,1189,2536
MUMB1,1677,2012,3,118,4887
COIM,163,2013,2,435,841
GUJAS,1779,2013,12,1756,4826
HARY&,334,2012,11,223,312
KOLK,1399,2011,7,1128,1883
HYDE2,2308,2013,12,160,506
WESTU,383,2012,12,435,996
VIJA,1020,2012,3,121,165
HARY&,2337,2013,9,78,128
DELHM,1105,2013,7,506,1253
BENGN,1008,2011,7,164,325
KOLK,1849,2011,11,1413,2361
KERA,2665,2013,10,26,29
WESTM,523,2012,3,903,1759
GUJAS,997,2012,3,140,319
MUMB2,1489,2013,11,512,2283
HYDE2,255,2012,8,175,374
NER,243,2012,5,221,516
BIHAW,1360,2012,11,936,1602
HYDE2,258,2012,7,116,332
JHAR,1051,2012,4,328,1095
ORIS,1730,2013,5,869,3435
VIJA,1000,2012,7,575,1197
PUNEN,1347,2012,4,110,132
WESTM,1098,2013,11,281,1255
HYDE2,363,2011,7,139,367
CHEN,1068,2013,9,187,361
VIJA,1674,2011,12,571,1017
CENTU,2204,2013,4,139,417
BENGS,1357,2013,3,208,524
PUNEN,77,2013,4,1158,3055
KOLK,1849,2013,12,1774,4627
EASTU,2303,2013,2,232,543
KERA,1371,2013,10,93,97
PUNJ,237,2013,10,212,416
MUMB2,456,2013,3,78,143
VIJA,1020,2013,10,129,474
BENGN,1854,2013,6,256,1011
MUMB2,1489,2011,12,465,1045
WESTM,1115,2011,10,22,218
HYDE2,251,2013,7,162,498
PUNES,81,2013,5,441,1217
NAGP,94,2012,6,265,645
HUBL,1022,2013,11,206,943
GUJAN,1101,2012,11,221,543
CENTU,1222,2012,2,970,1725
PUNEN,2319,2013,4,137,272
HUBL,1430,2012,1,432,855
BIHAE,1274,2012,5,87,151
HARY&,66,2011,5,167,405
EASTM,72,2013,11,178,501
BANG,1723,2012,10,2398,3969
COIM,1223,2012,10,472,863
BENGS,1401,2011,11,244,477
ORIS,1359,2013,3,464,1027
NAGP,87,2012,8,229,442
WESTM,361,2011,6,210,551
GUJAS,1143,2012,2,368,806
GUJAN,1101,2011,10,284,970
HYDE2,1841,2011,5,776,1388
BANG,2798,2013,11,265,291
HARY&,1722,2013,5,386,875
PUNEN,1198,2013,9,141,550
BENGN,537,2013,2,122,344
BENGN,538,2012,2,275,465
HUBL,353,2013,1,237,253
HARY&,1209,2012,6,481,786
CENTU,2004,2012,5,92,186
RAJA,122,2013,4,307,934
GUJAS,399,2011,6,138,567
HUBL,450,2013,11,414,1862
NER,239,2011,11,129,287
BIHAE,1413,2011,8,115,229
HYDE2,255,2011,4,171,378
MUMB2,297,2013,10,761,2847
VIJA,354,2011,11,136,296
NER,217,2013,6,364,943
HYDE2,1562,2013,1,152,548
HARY&,68,2013,8,219,449
VIJA,1403,2012,5,1540,2636
BENGN,25,2012,3,302,497
PUNES,1238,2013,5,311,871
HYDE2,601,2011,10,109,186
PUNEN,1214,2012,10,773,2277
GUJAN,1574,2011,5,651,1811
PUNEN,77,2013,1,1269,2916
EASTU,276,2013,3,172,334
PUNEN,960,2012,8,196,389
NER,1001,2013,8,186,524
HUBL,178,2013,10,301,1009
WESTU,167,2011,4,784,1461
BENGN,2174,2013,8,209,456
WESTU,168,2012,4,164,570
WESTM,1470,2013,12,136,412
HYDE1,1282,2013,2,1330,2189
PUNEN,1347,2011,5,119,123
ORIS,883,2013,1,512,988
BIHAW,1411,2013,11,134,549
HUBL,1430,2012,11,742,1834
GUJAS,138,2013,5,1825,4193
VIJA,1391,2013,10,160,438
PUNES,291,2011,10,70,82
BENGS,1091,2011,8,347,830
RAJA,129,2013,12,299,465
EASTU,281,2012,9,258,378
EASTM,74,2013,4,182,549
VIJA,228,2012,3,73,105
PUNEN,332,2013,1,112,256
PUNEN,1199,2013,10,197,473
PUNES,993,2013,4,161,486
MUMB2,1489,2013,9,503,2058
BENGS,768,2013,4,568,1502
HUBL,1431,2012,7,178,304
WESTU,1713,2012,10,157,431
NER,1001,2012,2,132,278
HYDE2,422,2013,12,424,1411
KERA,944,2013,11,196,506
BIHAE,533,2011,6,607,1064
GUJAS,1601,2013,8,165,356
HYDE1,2641,2013,9,2179,3777
HYDE2,1056,2011,6,106,202
HYDE2,1337,2012,10,110,199
PUNEN,1023,2012,2,329,789
WESTU,2084,2012,12,225,422
HARY&,1738,2012,3,150,236
WESTU,1915,2013,2,220,406
NER,648,2012,5,324,546
PUNES,1666,2012,3,450,1115
CENTU,1903,2011,11,474,851
PUNEN,1845,2011,7,814,2121
MUMB2,296,2011,11,815,1742
BANG,434,2011,12,497,1763
BANG,1146,2013,3,752,1373
WESTU,303,2011,12,184,246
HYDE2,251,2013,10,162,589
