asm_area_code,customer_code,month,year,pri_ind_bpm_actuals,pri_sales_amount
EASTM,593,7,2011,1202393.635,1395699.72
MUMB2,297,2,2011,0,4633642.39
RAJA,114,9,2011,9561878.12,10102811.08
EASTM,562,2,2011,0,1473486.01
ORIS,1590,6,2012,627589.0263,655056.32
PUNEN,1171,4,2012,1766581.418,1682893.49
GUJAN,131,3,2011,0,702967.4
WESTU,2074,1,2012,624928.3584,698656.33
CHEN,1863,12,2011,1684760.922,1693534.49
CENTU,1222,1,2012,3130898.468,3396513.87
DELHM,183,3,2012,6283001.834,6747626.87
EASTM,73,5,2011,3162338.07,3590888.4
NER,648,6,2011,2202196.755,2368408.86
HARY&,1209,6,2011,2815473.187,3185144.24
CENTU,2031,10,2011,165552.0387,179510.36
BANG,344,10,2012,7680997.08,7980668.79
CHEN,975,1,2012,11870050.51,11712021.03
NAGP,86,10,2012,1202137.781,1197869.29
EASTU,282,2,2012,1557323.366,1626036.85
NAGP,94,10,2012,2199431.318,2306196.42
VIJA,1674,12,2011,2149550.668,2136526.92
HYDE2,1933,2,2012,4533178.644,4216367.8
PUNEN,1347,2,2012,911399.8077,895787.87
PUNEN,1201,12,2011,2643404.408,2677770.09
COIM,1170,3,2012,416499.4291,369081.08
VIJA,1390,7,2012,759456.6894,796243.28
CHEN,850,8,2011,8985547.143,9489073.2
BENGS,2,3,2011,0,1381690.3
HARY&,1209,10,2011,2227785.193,2373543.8
EASTM,1877,8,2011,1992629.946,2263459.99
PUNES,81,2,2012,5396705.302,5124260.8
WESTU,729,5,2012,2756877.275,3094084.13
BIHAE,35,10,2012,1456351.161,1573628.86
VIJA,1391,5,2011,1598759.189,1776127.03
EASTM,2746,11,2013,1966487.187,2330403.54
BENGN,638,4,2013,1390595.158,1525470.32
WESTM,268,2,2013,3333452.298,3794434.12
NAGP,1062,7,2012,1662445.767,1780042.52
ORIS,1730,9,2012,2741599.739,2796109.24
BANG,2476,2,2013,591062.8528,620727.32
GUJAN,132,10,2011,1069509.682,1160289.45
GUJAN,137,2,2012,4120211.077,4391335.42
PUNES,1245,2,2012,2550735.65,2311394.55
COIM,556,4,2011,1202261.261,1328014.06
HYDE2,250,7,2011,1048959.121,1189373.07
HARY&,1722,11,2011,2136156.531,2352287.05
ORIS,1482,3,2013,823687.0137,955227.52
WESTM,1098,7,2012,1450602.343,1653026.9
WESTU,1437,9,2012,1915531.098,2053447.2
PUNES,1244,8,2012,1097934.081,1100906.15
PUNEN,1347,8,2012,886512.5563,854339.61
NER,1196,9,2012,221099.8789,211750.11
HUBL,178,9,2012,2431106.413,2487197.23
NER,2011,4,2013,548683.4193,586790.88
VIJA,455,8,2013,2959953.645,3131190.8
HYDE2,251,3,2013,689120.3379,790451.92
MUMB2,991,3,2013,-401228.8056,-495799.42
HYDE1,188,4,2013,11314285.88,12761205.36
BIHAE,1297,3,2013,1094166.244,1176947.39
HARY&,1743,5,2013,1327912.899,1567861.52
PUNES,2243,9,2013,13741751.61,16623136.6
KOLK,1556,7,2013,11765501.62,13558766.48
EASTM,2746,10,2013,1176808.911,1415850.68
EASTU,522,7,2013,3717927.186,4260062.65
JHAR,2796,11,2013,875451.4778,1014705.97
WESTM,2461,8,2013,2532413.342,2592556.42
NER,2182,10,2013,1741471.581,2015963.54
ORIS,2407,10,2013,493430.6227,581487.52
BANG,2611,12,2013,661206.9773,787753.69
WESTU,2115,12,2013,7997247.911,8817985.59
BIHAW,547,11,2013,1443843.383,1632431.36
KERA,153,11,2013,1016295.631,1226617.8
GUJAS,399,11,2012,1411106.687,1541884.57
JHAR,345,11,2012,1144531.557,1290933.53
PUNEN,80,1,2013,586609.6734,594563.73
RAJA,125,1,2011,0,1110702.33
MUMB2,2025,3,2012,1475170.83,1481552.82
VIJA,52,5,2011,3164731.237,3553833.66
HYDE2,473,12,2012,1382174.174,1459681.5
WESTU,1437,2,2011,0,1091607.29
WESTM,269,11,2012,-156237.4563,-180960.96
BENGS,481,11,2011,3006534.06,3248186.26
KERA,1064,2,2012,1668727.262,1772265.54
PUNJ,1548,2,2012,4069649.267,4120147.42
KERA,151,7,2011,2457114.234,2832754.08
VIJA,1391,9,2012,1340456.981,1431639.09
NAGP,89,5,2012,1146105.657,1147290.67
NER,1346,3,2011,0,753503.05
CENTU,967,3,2011,0,1808956.7
VIJA,2313,1,2013,895865.9512,968503.77
KOLK,1818,1,2013,3135157.886,3410944.62
PUNEN,77,11,2012,4422470.873,4728738.96
HARY&,334,1,2013,487850.4578,536404.54
BENGS,2326,1,2013,696621.4359,747932.12
HYDE1,463,11,2011,1092238.658,1099411.76
HARY&,62,9,2012,1211381.374,1300291.31
GUJAN,131,12,2012,1318940.534,1412623.85
HYDE1,1892,5,2012,7390513.096,7406229.82
RAJA,408,5,2012,11661204.03,12334862.63
NAGP,95,6,2011,2079066.049,2337205.24
GUJAS,1570,9,2012,3839633.634,4038969.03
WESTU,1915,4,2012,1251993.792,1304858.74
VIJA,552,6,2012,1644285.303,1617063.13
ORIS,9,9,2011,1132721.964,1256179.71
HYDE2,1726,1,2012,4479952.573,4398841.69
BANG,1252,7,2011,1465903.152,1586965.17
NAGP,89,7,2012,790272.0153,836027.17
PUNEN,2319,12,2012,1582923.428,1572466.44
BIHAE,1024,5,2012,2966508.981,3155385.09
KERA,159,5,2012,1372575.42,1428042.86
BIHAW,1833,2,2012,1574502.998,1510029.7
PUNES,1608,3,2011,0,2534700.45
HYDE1,1176,10,2011,1671569.568,1692508.63
PUNJ,1823,5,2012,3992841.18,4274837.15
BIHAE,1413,1,2011,0,813450.61
KERA,153,9,2011,856954.9182,975459.4
DELHM,2250,9,2012,17789055.8,18946008.47
BIHAE,1954,10,2012,785875.1011,837783.94
BIHAW,34,5,2012,1554578.483,1672095.3
VIJA,1403,10,2011,4061996.459,4186631.96
MUMB2,1317,3,2011,0,2750707.24
GUJAS,1601,8,2012,996803.2448,1012637.73
PUNEN,628,5,2012,3587624.381,3549978.24
HYDE1,1282,5,2012,5897676.63,5824074.9
HARY&,64,5,2013,1408045.315,1634087.32
DELHM,1809,11,2013,2884156.568,3374948.29
EASTU,774,5,2013,675305.8445,778930.76
PUNES,327,7,2012,903891.5299,890519.88
NAGP,2269,9,2012,1664263.591,1755775.91
PUNEN,743,8,2012,2127689.325,2080992.82
NAGP,2322,3,2013,1075518.94,1294955.9
BANG,147,3,2013,6325266.919,7566113.39
EASTM,410,5,2013,2053712.506,2230159.15
CHEN,2069,3,2013,2257516.733,2732000.62
HARY&,62,2,2013,873212.3154,978050.8
GUJAN,132,2,2013,1403872.471,1574360.34
BENGS,1295,9,2012,4482196.364,4868517.43
RAJA,121,2,2013,1406420.958,1537938.51
BANG,1723,11,2013,15135763.34,18468583.3
CHEN,104,4,2013,1309065.794,1413430.4
BENGS,451,7,2013,418096.396,506693.88
WESTU,2155,8,2013,537785.5613,536651.7
HYDE2,252,6,2013,1917205.6,2187836.92
ORIS,13,4,2013,698032.3919,752510.56
CENTU,2061,6,2013,553181.9595,650602.38
KERA,1064,6,2013,477403.5266,522992.92
KERA,596,6,2013,877761.7428,1021132.88
PUNJ,1524,9,2013,6250608.293,6905282.1
GUJAS,997,6,2013,689742.5531,815061.01
NER,1306,8,2013,2742861.612,2880741.2
COIM,556,9,2013,695477.0993,803887.4
GUJAS,1143,10,2013,1812379.138,2224943
PUNES,1067,10,2013,4507076.633,5643990.84
BANG,2611,9,2013,727264.8161,829206.85
VIJA,1893,8,2013,1014413.311,1104746.08
VIJA,1390,12,2013,1279421.346,1618568.9
EASTM,2794,12,2013,1934235.915,2159271.97
NER,559,1,2013,9394744.147,9049276.14
MUMB2,991,11,2012,6863370.67,7242261.32
KERA,1371,1,2013,1515737.198,1626531.65
GUJAN,1101,1,2013,1443873.335,1577715.57
BANG,145,1,2012,8014390.309,7990876.27
RAJA,129,3,2012,513593.5404,511475.08
RAJA,1806,4,2012,1539465.959,1558751.94
COIM,163,4,2012,2331622.272,2419267.3
HARY&,1722,4,2011,2684754.897,2903645.25
PUNES,530,4,2012,3703378.234,3553318.02
VIJA,446,5,2012,1202277.144,1185610.84
DELHM,406,4,2011,10714639.63,11350127.55
PUNES,1579,5,2012,1332075.646,1311089.46
CENTU,2037,6,2012,416370.8504,461359.12
RAJA,125,5,2011,1850404.579,2117930.35
BENGN,802,7,2011,833872.5392,934927.09
PUNEN,1200,2,2011,0,1483100.24
WESTU,961,5,2011,4244446.837,4917470.56
BENGN,24,9,2011,436097.9359,458403.48
VIJA,45,1,2011,0,1747513.04
WESTU,167,2,2013,5359394.092,6012835.19
RAJA,113,2,2013,2446472.151,2655565.76
BIHAW,1833,11,2013,1119224.674,1246536.62
VIJA,42,5,2013,941117.8745,1065673.72
RAJA,113,9,2012,2375926.209,2562335.95
JHAR,395,8,2013,1566352.055,1710925.32
EASTM,1889,6,2013,2148118.889,2355742.53
PUNJ,1823,10,2013,3549417.7,4022858.63
DELHM,1276,12,2013,9498184.615,10582023.01
CHEN,975,5,2013,9789460.083,11041220.88
WESTU,1027,4,2013,5700312.452,6557018.11
GUJAS,449,3,2013,1704739.349,1999579.22
PUNJ,2106,4,2013,5249156.165,5757679.67
MUMB2,1489,5,2013,2992185.1,3260049.02
JHAR,360,5,2013,4369761.196,4895416.1
BENGN,1854,5,2013,2310814.918,2621697.01
VIJA,2313,5,2013,1150210.991,1285314.83
HYDE2,252,9,2013,1609414.356,1841371.54
GUJAS,1164,7,2013,6296099.861,7142880.99
WESTU,1293,6,2013,996109.7723,1189526.99
GUJAN,1268,12,2013,9357216.819,10461114.38
HUBL,2315,7,2013,713343.4316,779359.46
HYDE2,1056,7,2013,922413.9473,1082270.06
RAJA,2176,7,2013,1755831.728,1930946.29
HYDE2,1593,10,2013,529158.0283,657360.47
RAJA,1455,11,2013,6380492.899,7449345.14
GUJAS,1920,11,2013,856144.9311,1052718.39
NER,215,11,2013,476827.0948,312978.5
HUBL,963,12,2013,1981796.853,2464857.22
PUNEN,628,11,2012,2750261.422,2841357.04
HARY&,64,1,2013,1416933.807,1579068.19
PUNEN,79,4,2012,2719554.332,2534572.89
PUNES,1245,2,2011,0,2847375.58
KERA,151,9,2012,1797871.507,1963028.56
JHAR,957,1,2013,2325472.871,2524153.14
MUMB1,1536,10,2011,8802995.335,9214178.5
PUNJ,237,1,2012,562764.7398,586153.9
HARY&,2422,11,2012,373486.6286,438146.18
GUJAN,1804,8,2011,5871638.549,6295706.43
PUNES,1102,11,2011,1887339.311,1906877.34
DELHM,185,3,2012,4350356.118,4660716.57
NAGP,98,10,2012,5830004.094,5850098.86
JHAR,540,7,2011,745561.6183,840780.74
MUMB1,1536,9,2011,10597480.8,11430407.22
KOLK,1817,4,2012,14850394.9,16509402.68
ORIS,625,1,2011,0,1478206.97
BENGN,24,5,2011,411549.8057,453728.02
PUNEN,1201,9,2011,1803500.419,2036414.38
ORIS,12,12,2011,1102794.955,1179354.43
JHAR,1634,11,2012,2950050.851,3177227.47
WESTU,961,1,2013,2561540.767,2872494.22
BENGN,537,1,2013,1232902.327,1333361.29
BENGN,538,4,2011,2635228.338,2798376.05
HYDE2,2314,12,2012,1066096.732,1126570.38
PUNES,291,3,2011,0,640760.16
ORIS,11,6,2012,1307367.415,1359185.3
COIM,862,5,2012,6111149.913,6368629.4
WESTM,268,1,2012,2964697.925,3291814.81
EASTU,774,3,2012,1073484.747,1107279.8
NER,217,4,2012,7741230.887,7129536.98
ORIS,625,3,2011,0,397564.18
BANG,434,7,2011,2114127.959,2255097.08
NER,1033,3,2011,0,1339591.67
GUJAN,132,7,2011,1118205.537,1266815.63
GUJAN,629,12,2012,2303653.982,2485156.53
NAGP,93,2,2011,0,5357106.91
HARY&,1205,3,2011,0,281704.68
PUNEN,331,10,2012,1952809.537,1932201.96
GUJAN,1804,9,2012,7857030.388,8292722.61
RAJA,113,5,2012,2161284.952,2253967.97
VIJA,1530,2,2012,6758309.38,6220651.54
HYDE2,251,4,2012,1547144.652,1535566.35
BIHAW,34,11,2012,1121562.068,1200561.17
COIM,1578,1,2013,977274.5562,1072276.12
PUNJ,600,3,2012,5504616.074,5820783.86
KERA,1371,12,2011,1552443.399,1656055.13
HARY&,2365,10,2012,458494.6912,525410.86
JHAR,550,7,2011,406531.0678,532078.92
JHAR,360,2,2012,4866727.674,4886781.68
GUJAS,1006,2,2011,0,3532000.64
HARY&,1534,9,2011,6179183.762,6850356.44
HARY&,1722,10,2012,1135195.533,1238088.25
PUNES,2235,7,2012,-359425.9135,-353210.12
HUBL,181,10,2012,2081191.438,2155111.72
ORIS,1359,7,2012,1766114.084,2083678.84
WESTU,465,4,2011,5296488.605,5686920.73
PUNJ,1683,10,2011,1291073.133,1432664.47
WESTM,266,5,2011,1347964.446,1603054.26
BIHAW,29,12,2011,6316412.489,6374915.16
EASTM,73,8,2011,4352535.76,4763911.66
PUNEN,332,1,2012,478893.2567,489188.12
KERA,1207,11,2013,3199538.63,4064635.98
GUJAN,2350,12,2012,544065.1517,590936.95
MUMB1,1065,8,2011,9610780.662,10431587.09
WESTU,961,6,2011,4866344.805,5381603.25
NER,273,4,2011,288837.5083,317313.28
PUNES,1376,1,2011,0,490755.36
CHEN,106,8,2011,831423.2054,892139.44
KERA,1384,4,2012,1913259.266,2074420.64
HYDE2,869,6,2011,3967521.933,4366977.83
MUMB1,1243,10,2012,5696452.286,6031505.83
JHAR,798,10,2011,3528618.283,3776009.82
ORIS,748,11,2013,1155339.153,1275265.61
KOLK,2462,2,2013,2153555.203,2372358.7
JHAR,345,7,2013,1231067.35,1410227.08
BENGS,5,3,2013,1347671.089,1562654.86
PUNES,1608,5,2013,2811252.549,2990081.24
NER,648,7,2012,1542584.247,1623028.76
ORIS,2407,9,2013,532406.3172,600357.04
WESTU,303,7,2012,1269888.463,1372865.8
BENGS,2112,12,2013,1593380.68,1761089.24
WESTM,1186,2,2013,11319625.92,12657904.04
COIM,1249,2,2013,2483901.119,2752551.76
VIJA,2313,2,2013,1006441.615,1099943.66
RAJA,1939,8,2012,9334688.174,9524061.8
DELHM,1276,2,2013,7895174.371,9072927.17
PUNEN,1575,7,2012,329110.3558,347908.92
MUMB2,379,2,2013,3402037.452,3572666.08
NAGP,2332,5,2013,992599.9745,1097024.96
NER,1001,11,2013,5189333.517,5745818.9
PUNEN,77,4,2013,6727826.029,7297731.7
KERA,879,8,2013,1701278.884,1891931.32
HARY&,2536,7,2013,436670.8006,523929.5
CENTU,645,8,2013,1152191.448,1217965.84
JHAR,1634,8,2013,3820523.203,4119624.5
HYDE2,257,4,2013,2453287.859,2736186.6
CENTU,170,4,2013,3464413.209,3730650.62
JHAR,345,4,2013,2410811.921,2577687.56
NAGP,1036,7,2013,4065693.809,5012838.77
BIHAE,1274,10,2013,681039.0991,750104.64
RAJA,2586,5,2013,1594637.679,1841100.13
BANG,2284,5,2013,2347471.466,2532882.02
HYDE2,2340,5,2013,1325022.163,1444244.2
CENTU,433,8,2013,9638395.242,10505591.78
HYDE2,422,7,2013,2265390.814,2628397.54
GUJAN,2581,8,2013,666301.8614,726370.34
MUMB1,2599,10,2013,12145925.53,14433277.26
WESTM,1414,12,2012,610368.0889,662251.33
NER,2008,2,2012,1709173.838,1858927.95
NER,1724,5,2011,3675133.012,4023013.86
BENGS,1257,10,2011,1199919.072,1304138.41
WESTU,2027,9,2011,385187.4878,429688.64
GUJAS,1779,3,2011,0,2416260.71
CHEN,2069,6,2012,3657533.992,3713769.2
DELHM,591,5,2011,5532888.341,6286696.81
CENTU,645,3,2011,0,179787.32
WESTU,2084,2,2012,394150.6113,437854.38
EASTM,69,12,2011,2453808.718,2473022.17
HYDE2,1014,3,2011,0,762345.66
WESTU,383,6,2012,3039679.641,3196674.46
HUBL,963,6,2011,2266341.199,2312904.04
NER,214,3,2011,0,739794.92
PUNEN,448,2,2013,5192174.797,5538761.74
HARY&,64,3,2013,1008886.02,1141259.99
NER,214,4,2013,1859457.304,1943017.36
NAGP,764,8,2012,865013.8803,898779.42
CHEN,315,8,2012,729075.7554,752418.77
GUJAS,747,6,2013,1198423.931,1493042.49
HYDE1,463,10,2013,588830.0853,736058.36
ORIS,748,8,2012,1319720.577,1423908.65
EASTM,374,6,2013,6569634.029,7245371.92
NER,239,7,2012,340899.7244,374812.96
BIHAW,566,8,2012,1628796.53,1718847.85
NAGP,97,12,2013,4424950.491,5758312.95
NER,217,2,2013,6050666.937,6073785.31
VIJA,552,3,2013,913249.2663,1066707.43
JHAR,542,2,2013,465526.3427,513323.92
HARY&,66,9,2012,-199964.8684,-233755.11
BANG,1146,9,2012,7890935.359,8684881.25
HYDE1,463,9,2013,1227175.504,1437868.1
WESTM,1186,5,2013,8949201.866,10240953.1
